dataset_id,dataset_name,ZT_mean,Random_mean,best_method,t_statistic,p_value,significant,uplift_pct,n_samples
917,fri_c1_1000_25,0.8967728601673555,0.7774311926605505,ZT,10.462096603061138,4.398483277192673e-14,True,15.350769127025893,50
1049,pc4,0.8946299913194445,0.8437196180555557,ZT,8.787939853812622,1.2233896551731211e-11,True,6.034039291538265,50
1111,KDDCup09_appetency,0.7969646105166341,0.7416899862496255,ZT,6.974702611289136,7.2600798695584225e-09,True,7.45252400487517,50
1464,blood-transfusion-service-center,0.7098684210526316,0.6966739766081872,ZT,1.8625464672586378,0.06852713641313203,False,1.8939195215361142,50
1494,qsar-biodeg,0.8552464788732395,0.802479879275654,ZT,10.640466889215926,2.4625238914487283e-14,True,6.575442071546317,50
1510,wdbc,0.9692063492063494,0.9554034391534394,ZT,4.802071447245968,1.5198066624368804e-05,True,1.4447205742885378,50
1558,bank-marketing,0.8486861375204071,0.7596486363199846,ZT,9.073107993935032,4.5887724051021754e-12,True,11.720879488674225,50
4534,PhishingWebsites,0.9549884364793847,0.880802748719309,ZT,7.051489848088924,5.521034861958408e-09,True,8.422508656784057,50
23381,dresses-sales,0.57873973727422,0.5483784893267653,ZT,3.2435783458266805,0.002128140183220238,True,5.536549762323598,50
40536,SpeedDating,0.8095615424430642,0.7608670807453416,ZT,13.1184428230923,1.1866689205978808e-17,True,6.399864434931496,50
